Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
2,BobsJet,5,85,22-Jun-2017,14-Sep-2017,20-Jul-2017,Business Services,private jet charter and shared flights,,,,,,1,300000,15.0,2000000,,,1,300000,15,,Rodrigo Loures
2,SuperMarcas,6,86,22-Jun-2017,14-Sep-2017,27-Jul-2017,,,,,,,,0,,,,,,,,,,
2,FlyChildren,6,87,22-Jun-2017,14-Sep-2017,27-Jul-2017,,,,,,,,,,,,,,,,,,
2,CartãoSolar,6,88,22-Jun-2017,14-Sep-2017,27-Jul-2017,,,,,,,,,,,,,,,,,,
2,Insider,6,89,22-Jun-2017,14-Sep-2017,27-Jul-2017,Beauty/Fashion,Functional Clothing,,,500000,5,10000000,1,500000,12.0,4166667,,,2,250000,6,,"João Appolinário, José Carlos Semenzato"
2,TchauBosta,7,90,22-Jun-2017,14-Sep-2017,3-Aug-2017,,,,,,,,,,,,,,,,,,
2,VolareBrasil,7,91,22-Jun-2017,14-Sep-2017,3-Aug-2017,,,,,,,,,,,,,,,,,,
2,b.eat,7,92,22-Jun-2017,14-Sep-2017,3-Aug-2017,,,,,,,,,,,,,,,,,,
2,Protesis,7,93,22-Jun-2017,14-Sep-2017,3-Aug-2017,,,,,,,,,,,,,,,,,,
2,TheClubhouse,8,94,22-Jun-2017,14-Sep-2017,10-Aug-2017,,,,,,,,,,,,,,,,,,
2,Cosmedical,8,95,22-Jun-2017,14-Sep-2017,10-Aug-2017,,,,,,,,,,,,,,,,,,
2,TeraPlay,8,96,22-Jun-2017,14-Sep-2017,10-Aug-2017,,,,,,,,,,,,,,,,,,
2,BabyBeachChampanheria,8,97,22-Jun-2017,14-Sep-2017,10-Aug-2017,,,,,,,,,,,,,,,,,,
2,E-Moving,9,98,22-Jun-2017,14-Sep-2017,17-Aug-2017,Automotive/Vehicles,Electric bicycles,,,,,,,,,,,,,,,,
2,FixIt,9,99,22-Jun-2017,14-Sep-2017,17-Aug-2017,,,,,,,,,,,,,,,,,,
2,BubbleMixTea,9,100,22-Jun-2017,14-Sep-2017,17-Aug-2017,,,,,,,,,,,,,,,,,,
2,EatClean,10,101,22-Jun-2017,14-Sep-2017,24-Aug-2017,,,,,,,,,,,,,,,,,,
2,ThinkTank,10,102,22-Jun-2017,14-Sep-2017,24-Aug-2017,,,,,,,,,,,,,,,,,,
2,Concola,10,103,22-Jun-2017,14-Sep-2017,24-Aug-2017,,,,,,,,,,,,,,,,,,
2,Getmore,10,104,22-Jun-2017,14-Sep-2017,24-Aug-2017,,,,,,,,,,,,,,,,,,
2,Canana,11,105,22-Jun-2017,14-Sep-2017,31-Aug-2017,,,,,,,,,,,,,,,,,,
2,HOMA,11,106,22-Jun-2017,14-Sep-2017,31-Aug-2017,,,,,,,,,,,,,,,,,,
2,OceanDrop,11,107,22-Jun-2017,14-Sep-2017,31-Aug-2017,,,,,,,,,,,,,,,,,,
2,NoBones,11,108,22-Jun-2017,14-Sep-2017,31-Aug-2017,,,,,,,,,,,,,,,,,,
2,Chimafácil,12,109,22-Jun-2017,14-Sep-2017,7-Sep-2017,,,,,,,,,,,,,,,,,,
2,Paubrasil,12,110,22-Jun-2017,14-Sep-2017,7-Sep-2017,,,,,,,,,,,,,,,,,,
2,M-Tronix,12,111,22-Jun-2017,14-Sep-2017,7-Sep-2017,,,,,,,,,,,,,,,,,,
2,Descarclean,12,112,22-Jun-2017,14-Sep-2017,7-Sep-2017,,,,,,,,,,,,,,,,,,
2,MissLaura,13,113,22-Jun-2017,14-Sep-2017,14-Sep-2017,,,,,,,,,,,,,,,,,,
2,SaturnoV,13,114,22-Jun-2017,14-Sep-2017,14-Sep-2017,,,,,,,,,,,,,,,,,,
2,2goBag,13,115,22-Jun-2017,14-Sep-2017,14-Sep-2017,,,,,,,,,,,,,,,,,,
2,SagradoBoulangerie,13,116,22-Jun-2017,14-Sep-2017,14-Sep-2017,,,,,,,,,,,,,,,,,,
2,MyGreenPet,,117,22-Jun-2017,14-Sep-2017,,Pet Products,Eco pet products,,,200000,15,1333333,1,200000,30.0,666667,,,2,100000,15,,"Caito Maia, Robinson Shiba"
3,Logay,1,118,17-Aug-2018,21-Dec-2018,17-Aug-2018,Beauty/Fashion,"e-commerce for LGBTQIA+ community, selling clothing, decor, and other products",,,,,,,,,,,,,,,,
3,Bikecina,1,119,17-Aug-2018,21-Dec-2018,17-Aug-2018,Automotive/Vehicles,Mobile bicycle repair service operating via vans,,,,,,,,,,,,,,,,
3,MegaHairline,1,120,17-Aug-2018,21-Dec-2018,17-Aug-2018,Beauty/Fashion,Business focused on hair products or services,,,,,,,,,,,,,,,,
3,AdamRobô,2,121,17-Aug-2018,21-Dec-2018,24-Aug-2018,Technology/Software,Technology/education solutions,,,,,,,,,,,,,,,,
3,SoCute,2,122,17-Aug-2018,21-Dec-2018,24-Aug-2018,Beauty/Fashion,Fashion or accessories,,,,,,,,,,,,,,,,
3,IlSordo,2,123,17-Aug-2018,21-Dec-2018,24-Aug-2018,,,,,,,,,,,,,,,,,,
3,StoryCloud,2,124,17-Aug-2018,21-Dec-2018,24-Aug-2018,Technology/Software,Cloud-based solutions for storytelling or education,,,,,,,,,,,,,,,,
3,PromovEmpilhadeiras,3,125,17-Aug-2018,21-Dec-2018,31-Aug-2018,,,,,,,,,,,,,,,,,,
3,MassanaCaveira,3,126,17-Aug-2018,21-Dec-2018,31-Aug-2018,,,,,,,,,,,,,,,,,,
3,Nous,3,127,17-Aug-2018,21-Dec-2018,31-Aug-2018,,,,,,,,,,,,,,,,,,
3,TruckVision,3,128,17-Aug-2018,21-Dec-2018,31-Aug-2018,,,,,,,,,,,,,,,,,,
3,Jobecam.SilvanaTrucss,4,129,17-Aug-2018,21-Dec-2018,14-Sep-2018,,,,,,,,,,,,,,,,,,
3,Ilunga,4,130,17-Aug-2018,21-Dec-2018,14-Sep-2018,,,,,,,,,,,,,,,,,,
3,Weasy,4,131,17-Aug-2018,21-Dec-2018,14-Sep-2018,,,,,,,,,,,,,,,,,,
